Date,sanmc,bbvamc,sabmc,bktmc
2010-05-11,4.869342,5.788144,1.7211020000000001,2.480739
2010-05-12,4.888433999999999,5.847241,1.746119,2.50925
2010-05-13,4.846545,5.788144,1.7362090000000001,2.430956
2010-05-14,4.411255000000001,5.349461,1.6630349999999998,2.273885
2010-05-17,4.369897,5.254416,1.6446319999999999,2.237159
2010-05-18,4.637646,5.5017830000000005,1.686166,2.327052
2010-05-19,4.5172930000000004,5.292796,1.6469880000000001,2.281134
2010-05-20,4.469576,5.155715,1.644155,2.2410229999999998
2010-05-21,4.562358000000001,5.317169,1.68428,2.333816
2010-05-24,4.5098709999999995,5.209327,1.663513,2.3222169999999998
2010-05-25,4.3327860000000005,4.975976,1.6219709999999998,2.2328099999999997
2010-05-26,4.305746,4.989985,1.61725,2.197527
2010-05-27,4.354521,5.172773,1.6328280000000002,2.291769
2010-05-28,4.4536690000000005,5.255025,1.6389650000000002,2.2719560000000003
2010-05-31,4.4139040000000005,5.19105,1.639904,2.265185
2010-06-01,4.348692,5.116718,1.629525,2.240538
2010-06-02,4.268098999999999,5.052134,1.607333,2.206713
2010-06-03,4.248482,5.033249,1.590816,2.199463
2010-06-04,4.002999,4.689007,1.5322799999999999,2.083472
2010-06-07,3.9563410000000006,4.595174,1.504429,2.063653
2010-06-08,3.8996129999999996,4.512313,1.47563,2.020156
2010-06-09,4.050184,4.652446,1.509149,2.063174
2010-06-10,4.259615,4.889456,1.555411,2.183513
2010-06-11,4.5650129999999995,5.160584,1.68475,2.368127
2010-06-14,4.609546,5.215422,1.6875830000000003,2.325602
2010-06-15,4.732021,5.322654,1.7031610000000001,2.353627
2010-06-16,4.713467,5.331792,1.697501,2.285484
2010-06-17,4.788225,5.40064,1.699387,2.297083
2010-06-18,4.957356,5.702841,1.784358,2.6097770000000002
2010-06-21,4.994473999999999,5.733307,1.775857,2.625241
2010-06-22,4.96266,5.633996,1.7763349999999998,2.55661
2010-06-23,4.865632,5.559054,1.758863,2.50345
2010-06-24,4.682185,5.343365,1.7107139999999998,2.457541
2010-06-25,4.703921,5.372005000000001,1.7159119999999999,2.5358330000000002
2010-06-28,4.804130000000001,5.484723000000001,1.7631130000000002,2.581744
2010-06-29,4.47806,5.08747,1.728178,2.373447
2010-06-30,4.633935,5.247104,1.756029,2.432893
2010-07-01,4.6111379999999995,5.186172,1.766417,2.4290220000000002
2010-07-02,4.647724,5.19105,1.793321,2.4314430000000002
2010-07-05,4.604247,5.16668,1.796632,2.478691
2010-07-06,4.883131,5.367738,1.8419470000000002,2.56394
2010-07-07,5.19913,5.703449,1.9693990000000001,2.810219
2010-07-08,5.275476,5.818608,1.9689290000000002,2.821182
2010-07-09,5.285553,5.879534,1.954769,2.794762
2010-07-12,5.2415449999999995,5.855954,1.943434,2.741421
2010-07-13,5.370912000000001,6.0171529999999995,1.9779,2.820688
2010-07-14,5.362958,6.0165370000000005,1.9627919999999999,2.815198
2010-07-15,5.231469000000001,5.887948000000001,1.954291,2.816201
2010-07-16,5.126491000000001,5.789507,1.9297509999999998,2.7489
2010-07-19,5.0877870000000005,5.734134,1.904726,2.667136
2010-07-20,5.195945,5.843652,1.935411,2.716991
2010-07-21,5.127021,5.798734,1.9358810000000002,2.735439
2010-07-22,5.291913,5.996846,1.9760060000000002,2.796758
2010-07-23,5.362958,6.054066000000001,1.970816,2.776815
2010-07-26,5.418632,6.207879,1.9977200000000002,2.807228
